,Rank,Participant,Result,Event,Year
4904,1.0,Cameron MCEVOY  AUS,48.12,100m-freestyle-men,2016
4905,2.0,Damian WIERLING  GER,48.35,100m-freestyle-men,2016
4906,3.0,Pieter TIMMERS  BEL,48.46,100m-freestyle-men,2016
4907,4.0,Luca DOTTO  ITA,48.47,100m-freestyle-men,2016
4908,5.0,Clement MIGNON  FRA,48.57,100m-freestyle-men,2016
4909,6.0,Federico GRABICH  ARG,48.78,100m-freestyle-men,2016
4910,7.0,Nicolas NILO  BRA,49.05,100m-freestyle-men,2016
4911,8.0,Velimir STJEPANOVIC  SRB,49.24,100m-freestyle-men,2016
4912,G,United States of America,7.00.66,4x200m-freestyle-relay-men,2016
4913,S,Great Britain,7.03.13,4x200m-freestyle-relay-men,2016
4914,B,Japan,7.03.50,4x200m-freestyle-relay-men,2016
4915,4.,Australia,7.04.18,4x200m-freestyle-relay-men,2016
4916,5.,Russian Federation,7.05.70,4x200m-freestyle-relay-men,2016
4917,6.,Germany,7.07.28,4x200m-freestyle-relay-men,2016
4918,7.,Netherlands,7.09.10,4x200m-freestyle-relay-men,2016
4919,8.,Belgium,7.11.64,4x200m-freestyle-relay-men,2016
4920,1.0,United States of America,7.06.74,4x200m-freestyle-relay-men,2016
4921,2.0,Netherlands,7.09.16,4x200m-freestyle-relay-men,2016
4922,3.0,Italy,7.09.20,4x200m-freestyle-relay-men,2016
4923,4.0,South Africa,7.12.61,4x200m-freestyle-relay-men,2016
4924,5.0,Spain,7.12.62,4x200m-freestyle-relay-men,2016
4925,6.0,France,7.13.71,4x200m-freestyle-relay-men,2016
4926,7.0,Brazil,7.13.84,4x200m-freestyle-relay-men,2016
4927,1.0,Great Britain,7.06.31,4x200m-freestyle-relay-men,2016
4928,2.0,Russian Federation,7.06.81,4x200m-freestyle-relay-men,2016
4929,3.0,Germany,7.07.66,4x200m-freestyle-relay-men,2016
4930,4.0,Japan,7.07.68,4x200m-freestyle-relay-men,2016
4931,5.0,Australia,7.07.98,4x200m-freestyle-relay-men,2016
4932,6.0,Belgium,7.08.72,4x200m-freestyle-relay-men,2016
4933,7.0,Denmark,7.12.66,4x200m-freestyle-relay-men,2016
4934,G,Anthony ERVIN  USA,21.4,50m-freestyle-men,2016
4935,S,Florent MANAUDOU  FRA,21.41,50m-freestyle-men,2016
4936,B,Nathan ADRIAN  USA,21.49,50m-freestyle-men,2016
4937,4.,Ben PROUD  GBR,21.68,50m-freestyle-men,2016
4938,5.,Andrii GOVOROV  UKR,21.74,50m-freestyle-men,2016
4939,6.,Bruno FRATUS  BRA,21.79,50m-freestyle-men,2016
4940,6.,Bradley Edward TANDY  RSA,21.79,50m-freestyle-men,2016
4941,8.,Simonas BILIS  LTU,22.08,50m-freestyle-men,2016
4942,1.0,Florent MANAUDOU  FRA,21.32,50m-freestyle-men,2016
4943,2.0,Nathan ADRIAN  USA,21.47,50m-freestyle-men,2016
4944,3.0,Bradley Edward TANDY  RSA,21.8,50m-freestyle-men,2016
4945,4.0,Vladimir MOROZOV  RUS,21.88,50m-freestyle-men,2016
4946,5.0,Santo CONDORELLI  CAN,21.97,50m-freestyle-men,2016
4947,6.0,Kristian GKOLOMEEV  GRE,21.98,50m-freestyle-men,2016
4948,7.0,Norbert TRANDAFIR  ROU,21.99,50m-freestyle-men,2016
4949,8.0,Shinri SHIOURA  JPN,22.18,50m-freestyle-men,2016
4950,1.0,Andrii GOVOROV  UKR,21.46,50m-freestyle-men,2016
4951,1.0,Anthony ERVIN  USA,21.46,50m-freestyle-men,2016
4952,3.0,Ben PROUD  GBR,21.54,50m-freestyle-men,2016
4953,4.0,Simonas BILIS  LTU,21.71,50m-freestyle-men,2016
4954,4.0,Bruno FRATUS  BRA,21.71,50m-freestyle-men,2016
4955,6.0,Luca DOTTO  ITA,21.84,50m-freestyle-men,2016
4956,7.0,Cameron MCEVOY  AUS,21.89,50m-freestyle-men,2016
4957,8.0,Italo DUARTE  BRA,22.05,50m-freestyle-men,2016
4958,1.0,Sidni HOXHA  ALB,22.8,50m-freestyle-men,2016
4959,2.0,Adam VIKTORA  SEY,24.32,50m-freestyle-men,2016
4960,3.0,Mael AMBONGUILAT  GAB,27.21,50m-freestyle-men,2016
4961,4.0,Brave LIFA  MAW,28.54,50m-freestyle-men,2016
4962,5.0,Christian NASSIF DJIDAGUI  CAF,30.0,50m-freestyle-men,2016
4963,6.0,Frantz DORSAINVIL  HAI,30.86,50m-freestyle-men,2016
4964,1.0,Nikolas SYLVESTER  VIN,25.64,50m-freestyle-men,2016
4965,2.0,Tindwende Thierry SAWADOGO  BUR,26.38,50m-freestyle-men,2016
4966,3.0,Albachir MOUCTAR  NIG,26.56,50m-freestyle-men,2016
4967,4.0,Osman KAMARA  SLE,26.9,50m-freestyle-men,2016
4968,5.0,Bourhan ABRO  DJI,27.13,50m-freestyle-men,2016
4969,6.0,Emerric KPEGBA  TOG,27.67,50m-freestyle-men,2016
4970,7.0,Abdelaziz MOHAMED AHMED  SUD,27.71,50m-freestyle-men,2016
4971,8.0,Dienov Andres KOKA  CGO,28.0,50m-freestyle-men,2016
4972,1.0,Dionisio AUGUSTINE II  FSM,26.17,50m-freestyle-men,2016
4973,2.0,Santisouk INTHAVONG  LAO,26.54,50m-freestyle-men,2016
4974,3.0,Ibrahim NISHWAN  MDV,26.72,50m-freestyle-men,2016
4975,4.0,Shawn WALLACE  PLW,26.78,50m-freestyle-men,2016
4976,5.0,Soule Soilihi ATHOUMANE  COM,27.31,50m-freestyle-men,2016
4977,6.0,Jules BESSAN  BEN,27.32,50m-freestyle-men,2016
4978,7.0,Amadou CAMARA  GUI,27.35,50m-freestyle-men,2016
4979,8.0,Pap D. JONGA  GAM,27.48,50m-freestyle-men,2016
4980,1.0,Hilal Hemed HILAL  TAN,23.7,50m-freestyle-men,2016
4981,2.0,Farhan FARHAN  BRN,24.61,50m-freestyle-men,2016
4982,3.0,Samson Samuel OPUAKPO FORCADOS  NGR,24.85,50m-freestyle-men,2016
4983,4.0,Olim KURBANOV  TJK,25.77,50m-freestyle-men,2016
4984,5.0,Giordan HARRIS  MHL,25.81,50m-freestyle-men,2016
4985,6.0,Joshua E TIBATEMWA  UGA,25.98,50m-freestyle-men,2016
4986,7.0,Billy Scott IRAKOZE  BDI,26.36,50m-freestyle-men,2016
4987,8.0,Eloi IMANIRAGUHA  RWA,26.43,50m-freestyle-men,2016
4988,1.0,Abdoul Khadre Mbaye NIANE  SEN,23.66,50m-freestyle-men,2016
4989,2.0,Meli MALANI  FIJ,23.88,50m-freestyle-men,2016
4990,2.0,Maksim INIC  MNE,23.88,50m-freestyle-men,2016
4991,4.0,Ahmed ATTELLESEY  LBA,23.89,50m-freestyle-men,2016
4992,5.0,Mohammad Mahfizur RAHMAN  BAN,23.92,50m-freestyle-men,2016
4993,6.0,Abeku Gyekye JACKSON  GHA,24.3,50m-freestyle-men,2016
4994,7.0,Lum ZHAVELI  KOS,24.53,50m-freestyle-men,2016
4995,8.0,Dulguun BATSAIKHAN  MGL,24.9,50m-freestyle-men,2016
4996,1.0,Geoffrey CHEAH  HKG,22.46,50m-freestyle-men,2016
4997,2.0,Mario TODOROVIC  CRO,22.65,50m-freestyle-men,2016
4998,3.0,Shane RYAN  IRL,22.88,50m-freestyle-men,2016
4999,4.0,Cristian QUINTERO VALERO  VEN,22.92,50m-freestyle-men,2016
5000,5.0,Jordan AUGIER  LCA,23.28,50m-freestyle-men,2016
5001,6.0,Jose QUINTANILLA  BOL,23.35,50m-freestyle-men,2016
5002,7.0,Vahan MKHITARYAN  ARM,23.5,50m-freestyle-men,2016
5003,8.0,Anthony BARBAR  LBN,23.77,50m-freestyle-men,2016
5004,1.0,Renzo TJON-A-JOE  SUR,22.23,50m-freestyle-men,2016
5005,2.0,Ali KHALAFALLA  EGY,22.25,50m-freestyle-men,2016
5006,3.0,Oussama SAHNOUNE  ALG,22.27,50m-freestyle-men,2016
5007,4.0,Douglas John ERASMUS  RSA,22.37,50m-freestyle-men,2016
5008,5.0,Federico GRABICH  ARG,22.44,50m-freestyle-men,2016
5009,6.0,Yuri KISIL  CAN,22.5,50m-freestyle-men,2016
5010,7.0,Jasper AERENTS  BEL,22.61,50m-freestyle-men,2016
5011,1.0,Hexin YU  CHN,22.2,50m-freestyle-men,2016
5012,2.0,Filip WYPYCH  POL,22.23,50m-freestyle-men,2016
5013,3.0,George Richard BOVELL  TTO,22.3,50m-freestyle-men,2016
5014,4.0,Aleksei BRIANSKII  RUS,22.33,50m-freestyle-men,2016
5015,5.0,Zetao NING  CHN,22.38,50m-freestyle-men,2016
5016,6.0,Odyssefs MELADINIS  GRE,22.47,50m-freestyle-men,2016
5017,7.0,Francois HEERSBRANDT  BEL,22.58,50m-freestyle-men,2016
5018,8.0,Ziv KALONTAROV  ISR,22.8,50m-freestyle-men,2016
5019,1.0,Cameron MCEVOY  AUS,21.8,50m-freestyle-men,2016
5020,2.0,Vladimir MOROZOV  RUS,21.81,50m-freestyle-men,2016
5021,3.0,Luca DOTTO  ITA,21.87,50m-freestyle-men,2016
5022,4.0,Bradley Edward TANDY  RSA,21.94,50m-freestyle-men,2016
5023,5.0,Shinri SHIOURA  JPN,22.01,50m-freestyle-men,2016
5024,6.0,Damian WIERLING  GER,22.18,50m-freestyle-men,2016
5025,7.0,Frederick BOUSQUET  FRA,22.27,50m-freestyle-men,2016
5026,8.0,Pawel JURASZEK  POL,22.5,50m-freestyle-men,2016
5027,G,Ryan MURPHY  USA,51.97,100m-backstroke-men,2016
5028,S,Jiayu XU  CHN,52.31,100m-backstroke-men,2016
5029,B,David PLUMMER  USA,52.4,100m-backstroke-men,2016
5030,4.,Mitch LARKIN  AUS,52.43,100m-backstroke-men,2016
5031,5.,Camille LACOURT  FRA,52.7,100m-backstroke-men,2016
5032,6.,Evgeny RYLOV  RUS,52.74,100m-backstroke-men,2016
5033,7.,Ryosuke IRIE  JPN,53.42,100m-backstroke-men,2016
5034,8.,Robert GLINTA  ROU,53.5,100m-backstroke-men,2016
5035,1.0,Ryan MURPHY  USA,52.49,100m-backstroke-men,2016
5036,2.0,Jiayu XU  CHN,52.73,100m-backstroke-men,2016
5037,3.0,Evgeny RYLOV  RUS,52.84,100m-backstroke-men,2016
5038,4.0,Ryosuke IRIE  JPN,53.21,100m-backstroke-men,2016
5039,5.0,Christopher Patrick REID  RSA,53.7,100m-backstroke-men,2016
5040,6.0,Chris WALKER-HEBBORN  GBR,53.75,100m-backstroke-men,2016
5041,7.0,Corey MAIN  NZL,54.29,100m-backstroke-men,2016
5042,8.0,Shane RYAN  IRL,54.4,100m-backstroke-men,2016
5043,1.0,David PLUMMER  USA,52.5,100m-backstroke-men,2016
5044,2.0,Mitch LARKIN  AUS,52.7,100m-backstroke-men,2016
5045,3.0,Camille LACOURT  FRA,52.72,100m-backstroke-men,2016
5046,4.0,Robert GLINTA  ROU,53.34,100m-backstroke-men,2016
5047,5.0,Grigory TARASEVICH  RUS,53.46,100m-backstroke-men,2016
5048,6.0,Jan-Philip GLANIA  GER,53.94,100m-backstroke-men,2016
5049,7.0,Joshua BEAVER  AUS,53.95,100m-backstroke-men,2016
5050,8.0,Guilherme GUIDO  BRA,54.16,100m-backstroke-men,2016
5051,1.0,Merdan ATAYEV  TKM,56.34,100m-backstroke-men,2016
5052,2.0,Timothy WYNTER  JAM,57.20,100m-backstroke-men,2016
5053,3.0,David VAN DER COLFF  BOT,57.77,100m-backstroke-men,2016
5054,4.0,Driss LAHRICHI  MAR,58.01,100m-backstroke-men,2016
5055,5.0,Yaaqoub ALSAADI  UAE,59.58,100m-backstroke-men,2016
5056,6.0,Hamdan BAYUSUF  KEN,1.00.28,100m-backstroke-men,2016
5057,7.0,Noah AL-KHULAIFI  QAT,1.07.47,100m-backstroke-men,2016
5058,1.0,Corey MAIN  NZL,53.99,100m-backstroke-men,2016
5059,2.0,Hugo GONZALEZ DE OLIVEIRA  ESP,54.18,100m-backstroke-men,2016
5060,3.0,Guangyuan LI  CHN,54.36,100m-backstroke-men,2016
5061,4.0,Danas RAPSYS  LTU,54.4,100m-backstroke-men,2016
5062,5.0,Tomasz POLEWKA  POL,54.52,100m-backstroke-men,2016
5063,6.0,Youngjun WON  KOR,55.05,100m-backstroke-men,2016
5064,7.0,Albert SUBIRATS ALTES  VEN,55.44,100m-backstroke-men,2016
5065,8.0,Viktar STASELOVICH  BLR,55.68,100m-backstroke-men,2016
5066,1.0,Jiayu XU  CHN,53.01,100m-backstroke-men,2016
5067,2.0,Ryan MURPHY  USA,53.06,100m-backstroke-men,2016
5068,3.0,Evgeny RYLOV  RUS,53.25,100m-backstroke-men,2016
5069,4.0,Shane RYAN  IRL,53.85,100m-backstroke-men,2016
5070,5.0,Jan-Philip GLANIA  GER,53.87,100m-backstroke-men,2016
5071,6.0,Gabor BALOG  HUN,54.48,100m-backstroke-men,2016
5072,7.0,Yakov TOUMARKIN  ISR,54.66,100m-backstroke-men,2016
5073,8.0,Simone SABBIONI  ITA,54.91,100m-backstroke-men,2016
5074,1.0,David PLUMMER  USA,53.19,100m-backstroke-men,2016
5075,2.0,Robert GLINTA  ROU,53.51,100m-backstroke-men,2016
5076,3.0,Chris WALKER-HEBBORN  GBR,53.54,100m-backstroke-men,2016
5077,4.0,Grigory TARASEVICH  RUS,53.65,100m-backstroke-men,2016
5078,5.0,Christopher Patrick REID  RSA,53.68,100m-backstroke-men,2016
5079,6.0,Javier ACEVEDO  CAN,54.11,100m-backstroke-men,2016
5080,7.0,Zheng Wen QUAH  SGP,54.38,100m-backstroke-men,2016
5081,8.0,Radoslaw KAWECKI  POL,54.39,100m-backstroke-men,2016
5082,1.0,Camille LACOURT  FRA,52.96,100m-backstroke-men,2016
5083,2.0,Mitch LARKIN  AUS,53.04,100m-backstroke-men,2016
5084,3.0,Joshua BEAVER  AUS,53.47,100m-backstroke-men,2016
5085,4.0,Ryosuke IRIE  JPN,53.49,100m-backstroke-men,2016
5086,5.0,Guilherme GUIDO  BRA,53.8,100m-backstroke-men,2016
5087,6.0,Apostolos CHRISTOU  GRE,54.12,100m-backstroke-men,2016
5088,7.0,Junya HASEGAWA  JPN,54.17,100m-backstroke-men,2016
5089,8.0,Mikita TSMYH  BLR,54.97,100m-backstroke-men,2016
5090,G,Katinka HOSSZU  HUN,58.45,100m-backstroke-women,2016
5091,S,Kathleen BAKER  USA,58.75,100m-backstroke-women,2016
5092,B,Yuanhui FU  CHN,58.76,100m-backstroke-women,2016
5093,B,Kylie MASSE  CAN,58.76,100m-backstroke-women,2016
5094,5.,Mie NIELSEN  DEN,58.8,100m-backstroke-women,2016
5095,6.,Olivia SMOLIGA  USA,58.95,100m-backstroke-women,2016
5096,7.,Emily SEEBOHM  AUS,59.19,100m-backstroke-women,2016
5097,8.,Madison WILSON  AUS,59.23,100m-backstroke-women,2016
5098,1.0,Madison WILSON  AUS,59.03,100m-backstroke-women,2016
5099,2.0,Mie NIELSEN  DEN,59.18,100m-backstroke-women,2016
5100,3.0,Emily SEEBOHM  AUS,59.32,100m-backstroke-women,2016
5101,4.0,Olivia SMOLIGA  USA,59.35,100m-backstroke-women,2016
5102,5.0,Anastasiia FESIKOVA  RUS,59.68,100m-backstroke-women,2016
5103,6.0,Dominique BOUCHARD  CAN,1.00.54,100m-backstroke-women,2016
5104,7.0,Eyglo Osk GUSTAFSDOTTIR  ISL,1.00.65,100m-backstroke-women,2016
5105,8.0,Xueer WANG  CHN,1.01.44,100m-backstroke-women,2016
5106,1.0,Kathleen BAKER  USA,58.84,100m-backstroke-women,2016
5107,2.0,Katinka HOSSZU  HUN,58.94,100m-backstroke-women,2016
5108,3.0,Yuanhui FU  CHN,58.95,100m-backstroke-women,2016
5109,4.0,Kylie MASSE  CAN,59.06,100m-backstroke-women,2016
5110,5.0,Georgia DAVIES  GBR,59.85,100m-backstroke-women,2016
5111,6.0,Kirsty Leigh COVENTRY  ZIM,1.00.26,100m-backstroke-women,2016
5112,7.0,Matea SAMARDZIC  CRO,1.00.60,100m-backstroke-women,2016
5113,8.0,Duane DA ROCHA MARCE  ESP,1.00.85,100m-backstroke-women,2016
5114,1.0,Gaurika SINGH  NEP,1.08.45,100m-backstroke-women,2016
5115,2.0,Evelina AFOA  SAM,1.08.74,100m-backstroke-women,2016
5116,3.0,Rita ZEQIRI  KOS,1.12.31,100m-backstroke-women,2016
5117,1.0,Claudia LAU  HKG,1.01.27,100m-backstroke-women,2016
5118,2.0,Alicja TCHORZ  POL,1.01.31,100m-backstroke-women,2016
5119,3.0,Alexus LAIRD  SEY,1.03.33,100m-backstroke-women,2016
5120,4.0,Kimiko RAHEEM  SRI,1.04.21,100m-backstroke-women,2016
5121,5.0,Lara BUTLER  CAY,1.04.98,100m-backstroke-women,2016
5122,6.0,Caylee WATSON  ISV,1.07.19,100m-backstroke-women,2016
5123,7.0,Talisa LANOE  KEN,1.10.02,100m-backstroke-women,2016
5124,1.0,Olivia SMOLIGA  USA,59.60,100m-backstroke-women,2016
5125,2.0,Madison WILSON  AUS,59.92,100m-backstroke-women,2016
5126,3.0,Anastasiia FESIKOVA  RUS,1.00.04,100m-backstroke-women,2016
5127,4.0,Kirsty Leigh COVENTRY  ZIM,1.00.13,100m-backstroke-women,2016
5128,5.0,Eyglo Osk GUSTAFSDOTTIR  ISL,1.00.89,100m-backstroke-women,2016
5129,6.0,Simona BAUMRTOVA  CZE,1.01.08,100m-backstroke-women,2016
5130,7.0,Daria USTINOVA  RUS,1.01.45,100m-backstroke-women,2016
5131,8.0,Mimosa JALLOW  FIN,1.01.58,100m-backstroke-women,2016
5132,1.0,Kathleen BAKER  USA,58.84,100m-backstroke-women,2016
5133,2.0,Mie NIELSEN  DEN,59.13,100m-backstroke-women,2016
5134,3.0,Georgia DAVIES  GBR,59.86,100m-backstroke-women,2016
5135,4.0,Yuanhui FU  CHN,1.00.02,100m-backstroke-women,2016
5136,5.0,Matea SAMARDZIC  CRO,1.00.46,100m-backstroke-women,2016
5137,6.0,Xueer WANG  CHN,1.00.59,100m-backstroke-women,2016
5138,7.0,Duane DA ROCHA MARCE  ESP,1.00.87,100m-backstroke-women,2016
5139,8.0,Katarína LISTOPADOVÁ  SVK,1.01.43,100m-backstroke-women,2016
5140,1.0,Emily SEEBOHM  AUS,58.99,100m-backstroke-women,2016
5141,2.0,Kylie MASSE  CAN,59.07,100m-backstroke-women,2016
5142,3.0,Katinka HOSSZU  HUN,59.13,100m-backstroke-women,2016
5143,4.0,Dominique BOUCHARD  CAN,1.00.18,100m-backstroke-women,2016
5144,5.0,Kira TOUSSAINT  NED,1.01.17,100m-backstroke-women,2016
5145,6.0,Yekaterina RUDENKO  KAZ,1.01.28,100m-backstroke-women,2016
5146,7.0,Etiene MEDEIROS  BRA,1.01.70,100m-backstroke-women,2016
5147,8.0,Natsumi SAKAI  JPN,1.01.74,100m-backstroke-women,2016
5148,G,Madeline DIRADO  USA,2.05.99,200m-backstroke-women,2016
5149,S,Katinka HOSSZU  HUN,2.06.05,200m-backstroke-women,2016
5150,B,Hilary CALDWELL  CAN,2.07.54,200m-backstroke-women,2016
5151,4.,Daria USTINOVA  RUS,2.07.89,200m-backstroke-women,2016
5152,5.,Belinda HOCKING  AUS,2.08.02,200m-backstroke-women,2016
5153,6.,Kirsty Leigh COVENTRY  ZIM,2.08.80,200m-backstroke-women,2016
5154,7.,Yaxin LIU  CHN,2.09.03,200m-backstroke-women,2016
5155,8.,Eyglo Osk GUSTAFSDOTTIR  ISL,2.09.44,200m-backstroke-women,2016
5156,1.0,Hilary CALDWELL  CAN,2.07.17,200m-backstroke-women,2016
5157,2.0,Yaxin LIU  CHN,2.07.56,200m-backstroke-women,2016
5158,3.0,Eyglo Osk GUSTAFSDOTTIR  ISL,2.08.84,200m-backstroke-women,2016
5159,4.0,Daryna ZEVINA  UKR,2.09.07,200m-backstroke-women,2016
5160,5.0,Anastasiia FESIKOVA  RUS,2.09.12,200m-backstroke-women,2016
5161,6.0,Emily SEEBOHM  AUS,2.09.39,200m-backstroke-women,2016
5162,7.0,Lisa GRAF  GER,2.09.56,200m-backstroke-women,2016
5163,8.0,Jenny MENSING  GER,2.10.15,200m-backstroke-women,2016
5164,1.0,Katinka HOSSZU  HUN,2.06.03,200m-backstroke-women,2016
5165,2.0,Madeline DIRADO  USA,2.07.53,200m-backstroke-women,2016
5166,3.0,Belinda HOCKING  AUS,2.07.83,200m-backstroke-women,2016
5167,4.0,Kirsty Leigh COVENTRY  ZIM,2.08.83,200m-backstroke-women,2016
5168,5.0,Daria USTINOVA  RUS,2.08.84,200m-backstroke-women,2016
5169,6.0,Dominique BOUCHARD  CAN,2.09.07,200m-backstroke-women,2016
5170,7.0,Missy FRANKLIN  USA,2.09.74,200m-backstroke-women,2016
5171,8.0,Matea SAMARDZIC  CRO,2.09.83,200m-backstroke-women,2016
5172,1.0,Ekaterina Ivanova AVRAMOVA  TUR,2.12.98,200m-backstroke-women,2016
5173,2.0,Simona BAUMRTOVA  CZE,2.13.26,200m-backstroke-women,2016
5174,3.0,Martina VAN BERKEL  SUI,2.13.46,200m-backstroke-women,2016
5175,4.0,Yessy Venisia YOSAPUTRA  INA,2.20.88,200m-backstroke-women,2016
5176,1.0,Lisa GRAF  GER,2.08.67,200m-backstroke-women,2016
5177,2.0,Dominique BOUCHARD  CAN,2.08.87,200m-backstroke-women,2016
5178,3.0,Missy FRANKLIN  USA,2.09.36,200m-backstroke-women,2016
5179,4.0,Daria USTINOVA  RUS,2.09.96,200m-backstroke-women,2016
5180,5.0,Matea SAMARDZIC  CRO,2.10.51,200m-backstroke-women,2016
5181,6.0,Margherita PANZIERA  ITA,2.10.92,200m-backstroke-women,2016
5182,7.0,Duane DA ROCHA MARCE  ESP,2.11.17,200m-backstroke-women,2016
5183,8.0,Alicja TCHORZ  POL,2.11.40,200m-backstroke-women,2016
5184,1.0,Katinka HOSSZU  HUN,2.06.09,200m-backstroke-women,2016
5185,2.0,Hilary CALDWELL  CAN,2.07.40,200m-backstroke-women,2016
5186,3.0,Madeline DIRADO  USA,2.08.60,200m-backstroke-women,2016
5187,4.0,Yaxin LIU  CHN,2.08.84,200m-backstroke-women,2016
5188,5.0,Kirsty Leigh COVENTRY  ZIM,2.08.91,200m-backstroke-women,2016
5189,6.0,Anastasiia FESIKOVA  RUS,2.10.39,200m-backstroke-women,2016
5190,7.0,Reka GYORGY  HUN,2.12.99,200m-backstroke-women,2016
5191,8.0,Natsumi SAKAI  JPN,2.13.99,200m-backstroke-women,2016
5192,1.0,Belinda HOCKING  AUS,2.08.67,200m-backstroke-women,2016
5193,2.0,Daryna ZEVINA  UKR,2.08.88,200m-backstroke-women,2016
5194,3.0,Emily SEEBOHM  AUS,2.09.00,200m-backstroke-women,2016
5195,4.0,Eyglo Osk GUSTAFSDOTTIR  ISL,2.09.62,200m-backstroke-women,2016
5196,5.0,Jenny MENSING  GER,2.10.68,200m-backstroke-women,2016
5197,6.0,Claudia LAU  HKG,2.10.94,200m-backstroke-women,2016
5198,7.0,Africa ZAMORANO SANZ  ESP,2.13.74,200m-backstroke-women,2016
5199,8.0,Jie CHEN  CHN,2.14.18,200m-backstroke-women,2016
5200,G,United States of America,3.53.13,4x100m-medley-relay-women,2016
5201,S,Australia,3.55.00,4x100m-medley-relay-women,2016
5202,B,Denmark,3.55.01,4x100m-medley-relay-women,2016
5203,4.,People's Republic of China,3.55.18,4x100m-medley-relay-women,2016
5204,5.,Canada,3.55.49,4x100m-medley-relay-women,2016
5205,6.,Russian Federation,3.55.66,4x100m-medley-relay-women,2016
5206,7.,Great Britain,3.56.96,4x100m-medley-relay-women,2016
5207,8.,Italy,3.59.50,4x100m-medley-relay-women,2016
5208,1.0,Canada,3.56.80,4x100m-medley-relay-women,2016
5209,2.0,Denmark,3.56.98,4x100m-medley-relay-women,2016
5210,3.0,Russian Federation,3.57.44,4x100m-medley-relay-women,2016
5211,4.0,Sweden,3.59.45,4x100m-medley-relay-women,2016
5212,5.0,Japan,3.59.82,4x100m-medley-relay-women,2016
5213,6.0,Finland,4.01.61,4x100m-medley-relay-women,2016
5214,7.0,Brazil,4.02.83,4x100m-medley-relay-women,2016
5215,8.0,Hong-Kong,4.03.85,4x100m-medley-relay-women,2016
5216,1.0,United States of America,3.54.67,4x100m-medley-relay-women,2016
5217,2.0,Australia,3.57.80,4x100m-medley-relay-women,2016
5218,3.0,People's Republic of China,3.58.23,4x100m-medley-relay-women,2016
5219,4.0,Italy,3.59.09,4x100m-medley-relay-women,2016
5220,5.0,Great Britain,3.59.34,4x100m-medley-relay-women,2016
5221,6.0,Germany,4.02.19,4x100m-medley-relay-women,2016
5222,G,Pernille BLUME  DEN,24.07,50m-freestyle-women,2016
5223,S,Simone MANUEL  USA,24.09,50m-freestyle-women,2016
5224,B,Aliaksandra HERASIMENIA  BLR,24.11,50m-freestyle-women,2016
5225,4.,Francesca HALSALL  GBR,24.13,50m-freestyle-women,2016
5226,5.,Cate CAMPBELL  AUS,24.15,50m-freestyle-women,2016
5227,6.,Ranomi KROMOWIDJOJO  NED,24.19,50m-freestyle-women,2016
5228,7.,Bronte CAMPBELL  AUS,24.42,50m-freestyle-women,2016
5229,8.,Etiene MEDEIROS  BRA,24.69,50m-freestyle-women,2016
5230,1.0,Francesca HALSALL  GBR,24.41,50m-freestyle-women,2016
5231,2.0,Bronte CAMPBELL  AUS,24.43,50m-freestyle-women,2016
5232,3.0,Etiene MEDEIROS  BRA,24.45,50m-freestyle-women,2016
5233,4.0,Arianna VANDERPOOL-WALLACE  BAH,24.6,50m-freestyle-women,2016
5234,5.0,Chantal VAN LANDEGHEM  CAN,24.61,50m-freestyle-women,2016
5235,6.0,Jeanette OTTESEN  DEN,24.62,50m-freestyle-women,2016
5236,7.0,Sarah SJOSTROM  SWE,24.69,50m-freestyle-women,2016
5237,8.0,Therese ALSHAMMAR  SWE,24.72,50m-freestyle-women,2016
5238,1.0,Pernille BLUME  DEN,24.28,50m-freestyle-women,2016
5239,2.0,Cate CAMPBELL  AUS,24.32,50m-freestyle-women,2016
5240,3.0,Ranomi KROMOWIDJOJO  NED,24.39,50m-freestyle-women,2016
5241,4.0,Simone MANUEL  USA,24.44,50m-freestyle-women,2016
5242,5.0,Aliaksandra HERASIMENIA  BLR,24.53,50m-freestyle-women,2016
5243,6.0,Abbey WEITZEIL  USA,24.67,50m-freestyle-women,2016
5244,7.0,Dorothea BRANDT  GER,24.71,50m-freestyle-women,2016
5245,8.0,Inge DEKKER  NED,25.31,50m-freestyle-women,2016
5246,1.0,Ei Ei THET  MYA,30.25,50m-freestyle-women,2016
5247,2.0,Fatema ALMAHMEED  BRN,32.28,50m-freestyle-women,2016
5248,3.0,Nada ALBEDWAWI  UAE,33.42,50m-freestyle-women,2016
5249,4.0,Bunturabie JALLOH  SLE,39.93,50m-freestyle-women,2016
5250,1.0,Anastasiya TYURINA  TJK,31.15,50m-freestyle-women,2016
5251,2.0,Laraiba SEIBOU  BEN,33.01,50m-freestyle-women,2016
5252,3.0,Stefan Bellore SANGALA  CGO,33.71,50m-freestyle-women,2016
5253,4.0,Roukaya MOUSSA MAHAMANE  NIG,35.6,50m-freestyle-women,2016
5254,5.0,Haneen IBRAHIM  SUD,36.23,50m-freestyle-women,2016
5255,6.0,Chloe Marie Helene SAUVOUREL  CAF,37.15,50m-freestyle-women,2016
5256,7.0,Mohamed Andhumdine NAZLATI  COM,37.66,50m-freestyle-women,2016
5257,8.0,Mariama Djoulde SOW  GUI,39.85,50m-freestyle-women,2016
5258,1.0,Dirngulbai MISECH  PLW,29.19,50m-freestyle-women,2016
5259,2.0,Angelika OUEDRAOGO  BUR,29.44,50m-freestyle-women,2016
5260,3.0,Sonia AKTAR  BAN,29.99,50m-freestyle-women,2016
